iter	RMSE
0	7897.682167
1	7525.326743
2	7310.920426
3	7084.386961
4	6931.084494
5	6816.084849
6	6662.70924
7	6564.845327
8	6481.072913
9	6420.887127
10	6339.749582
11	6276.062416
12	6228.5768
13	6168.376129
14	6127.929184
15	6095.887232
16	6055.8628
17	5993.652503
18	5961.817617
19	5935.128732
20	5912.984633
21	5883.366168
22	5855.585718
23	5831.318405
24	5810.763943
25	5779.422214
26	5764.074545
27	5739.206739
28	5724.933627
29	5703.964002
30	5685.433467
31	5673.494141
32	5662.780823
33	5653.333131
34	5638.125664
35	5620.175854
36	5605.132321
37	5595.131766
38	5583.396019
39	5573.051294
40	5560.618359
41	5554.470203
42	5546.868708
43	5537.100501
44	5528.437337
45	5516.878377
46	5510.739864
47	5502.623116
48	5496.182543
49	5488.582478
50	5477.288957
51	5469.737975
52	5464.200403
53	5460.36306
54	5450.438707
55	5444.209037
56	5436.570976
57	5433.925123
58	5427.481285
59	5424.603584
60	5418.776163
61	5402.735872
62	5398.989708
63	5392.319507
64	5388.361291
65	5381.488689
66	5374.061899
67	5370.886062
68	5364.740447
69	5362.871697
70	5358.893251
71	5356.740836
72	5351.84565
73	5339.991575
74	5337.455015
75	5332.789499
76	5328.993473
77	5322.707998
78	5317.766611
79	5315.087089
80	5310.245026
81	5303.362659
82	5302.460326
83	5293.640541
84	5289.338939
85	5285.860269
86	5281.795291
87	5278.544198
88	5277.425106
89	5271.244394
90	5269.203956
91	5266.570104
92	5264.354853
93	5258.554103
94	5256.096904
95	5254.367683
96	5249.699031
97	5247.894997
98	5246.37646
99	5241.173788
