iter	Passed	Remaining
0	0	20
1	0	17
2	0	18
3	0	18
4	0	17
5	1	16
6	1	15
7	1	14
8	1	14
9	1	15
10	1	14
11	1	14
12	2	14
13	2	14
14	2	13
15	2	13
16	2	13
17	3	14
18	3	13
19	3	13
20	3	13
21	3	12
22	3	12
23	3	12
24	4	12
25	4	12
26	4	12
27	4	11
28	4	11
29	5	11
30	5	11
31	5	11
32	5	11
33	5	11
34	5	11
35	6	10
36	6	10
37	6	10
38	6	10
39	6	10
40	6	9
41	7	9
42	7	9
43	7	9
44	7	9
45	7	9
46	8	9
47	8	8
48	8	8
49	8	8
50	8	8
51	8	7
52	8	7
53	8	7
54	9	7
55	9	7
56	9	7
57	9	6
58	9	6
59	9	6
60	10	6
61	10	6
62	10	6
63	10	5
64	10	5
65	10	5
66	10	5
67	11	5
68	11	5
69	11	4
70	11	4
71	11	4
72	11	4
73	11	4
74	11	3
75	12	3
76	12	3
77	12	3
78	12	3
79	12	3
80	12	3
81	13	2
82	13	2
83	13	2
84	13	2
85	13	2
86	13	2
87	14	1
88	14	1
89	14	1
90	14	1
91	14	1
92	14	1
93	15	0
94	15	0
95	15	0
96	15	0
97	15	0
98	15	0
99	15	0
