job_type,job_location,analyst_type,company_type,is_manager,is_python,is_data_analyst,is_ml,is_sql,is_full_time,education,viz_tool,year_of_surv,exp,salary
שכירה,אזור ירושלים,All kind of data analysis,צהל,כן,כן,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Power BI,2022,22,
שכירה,מרכז,Business analyst,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,מנהל עסקים,Other,2022,0.4,15000
שכירה,צפון,Financial Analyst,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,מדעי הטבע,No Tool,2022,2,9000
שכירה,אזור תל אביב,Business analyst,הייטק (גלובלי),לא,כן,כן,לעיתים נדירות,כן,מלאה,הנדסת תעשיה וניהול,Redash,2022,0.5,19000
שכירה,אזור תל אביב,Product,אחר,לא,לא,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Redash,2022,3,25000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,כן,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Tableau,2022,1,20000
שכירה,מרכז,All kind of data analysis,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,מדעי הטבע,Tableau,2022,3,22000
שכירה,אזור ירושלים,All kind of data analysis,צהל,כן,לעיתים נדירות,כן,כן,כן,מלאה,הנדסת תעשיה וניהול,Excel,2022,12,26000
שכירה,אזור תל אביב,All kind of data analysis,הייטק,לא,כן,כן,לעיתים נדירות,כן,מלאה,מנהל עסקים,Google Data studio,2022,4,16000
שכירה,אזור תל אביב,Business analyst,הייטק,לא,לא,כן,לא,כן,מלאה,כלכלה / פיננסים / חשבונאות,Looker,2022,3,18000
שכירה,אזור תל אביב,Product,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Tableau,2022,3,26000
שכירה,מרכז,All kind of data analysis,הייטק,לא,כן,כן,לעיתים נדירות,כן,מלאה,הנדסת תעשיה וניהול,Tableau,2022,5.5,38000
שכירה,מרכז,Business analyst,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,מדעי ההתנהגות או חברה,Tableau,2022,3,16000
