year_of_surv,Column1,job_location,company_type,is_manager,is_python,is_data_analyst,is_ml,is_sql,is_full_time,viz_tool,exp,salary
2022,1,אזור ירושלים,צהל,כן,כן,כן,כן,כן,מלאה,Power BI,22,
2022,2,מרכז,תעשייה ישראלית,לא,לא,כן,לא,כן,מלאה,Other,0.4,15000
2022,3,צפון,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,None,2,9000
2022,4,אזור תל אביב,הייטק (גלובלי),לא,כן,כן,לעיתים נדירות,כן,מלאה,Redash,0.5,19000
2022,5,אזור תל אביב,אחר,לא,לא,כן,לא,כן,מלאה,Redash,3,25000
2022,6,אזור תל אביב,הייטק,לא,כן,כן,לא,כן,מלאה,Tableau,1,20000
2022,7,מרכז,הייטק,לא,לעיתים נדירות,כן,לא,כן,מלאה,Tableau,3,22000
2022,8,אזור ירושלים,צהל,כן,לעיתים נדירות,כן,כן,כן,מלאה,Excel,12,26000
2022,9,אזור תל אביב,הייטק,לא,כן,כן,לעיתים נדירות,כן,מלאה,Looker/Google Data studio,4,16000
2022,10,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,3,18000
2022,11,אזור תל אביב,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Tableau,3,26000
2022,12,מרכז,הייטק,לא,כן,כן,לעיתים נדירות,כן,מלאה,Tableau,5.5,38000
2022,13,מרכז,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Tableau,3,16000
2022,14,אזור תל אביב,הייטק,לא,לא,כן,לא,כן,מלאה,Redash,5,16000
2022,15,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Looker/Google Data studio,10,33000
2022,16,עבודה מהבית,הייטק,לא,לא,כן,לעיתים נדירות,לא,מלאה,Tableau,3,20000
2022,17,מרכז,הייטק,כן,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Excel,7,28000
2022,18,מרכז,הייטק,לא,כן,כן,לא,כן,מלאה,Power BI,15,24000
2022,19,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,Qlik,1,15000
2022,20,מרכז,הייטק (גלובלי),לא,כן,כן,כן,כן,מלאה,Tableau,2,22000
2022,21,אזור תל אביב,תעשייה ישראלית,לא,לא,כן,לא,לא,מלאה,Excel,1,
2022,22,אזור תל אביב,הייטק (גלובלי),לא,לא,כן,לא,כן,מלאה,Tableau,3,23000
2022,23,מרכז,תעשייה ישראלית,כן,כן,כן,לעיתים נדירות,כן,מלאה,Qlik,8,33000
2022,24,מרכז,הייטק (גלובלי),לא,כן,כן,לא,כן,מלאה,Power BI,3,
2022,25,אזור תל אביב,תעשייה ישראלית,לא,לעיתים נדירות,כן,לא,כן,מלאה,Qlik,1,16500
2022,26,צפון,אחר,לא,לא,כן,לא,כן,מלאה,Excel,2,18000
2022,27,מרכז,הייטק (גלובלי),לא,לעיתים נדירות,כן,כן,כן,מלאה,Qlik,4,23000
2022,28,מרכז,הייטק,לא,כן,כן,כן,כן,מלאה,Other,1,14000
2022,29,אזור תל אביב,הייטק,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Tableau,2,21000
2022,30,אזור תל אביב,הייטק,לא,לא,כן,לא,לעיתים נדירות,מלאה,Company Inside Tool,7,25000
2022,31,אזור תל אביב,תעשייה ישראלית,לא,לעיתים נדירות,כן,לעיתים נדירות,כן,מלאה,Tableau,7,22000
2022,32,מרכז,הייטק,לא,כן,כן,לא,כן,מלאה,Looker/Google Data studio,3,15000
